year,week,total.specimens,percent.positive,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir,flu_symptoms,median_tmax,median_tmin,median_t,total_prcp,humidity,vac_num,vac_effectiveness,all_rate,rate_0_4,rate_5_17,rate_18_49,rate_50_64,rate_65_plus,celcius_median_t,absolute_humidity
2010,40,54.0,0.0,55.125,120.7180851,85.20710059,44.61538462,17.79069767,35.0,18.0,0.0,3.333333333,0,4.615384615,63.0,50.0,56.5,0.61,80.0,130.9,60,0.0,0.0,0.0,0.0,0.0,0.0,13.611111111111112,9.417645827462152
2010,41,57.0,1.75,55.125,165.6914894,47.92899408,55.38461538,20.75581395,29.0,18.0,0.0,3.333333333,0,4.615384615,64.0,44.0,54.0,1.1,65.0,130.9,60,0.0,0.0,0.0,0.0,0.0,0.0,12.222222222222223,7.021040421920985
2010,42,71.0,1.41,81.15625,80.4787234,76.33136095,32.30769231,16.80232558,14.0,18.0,0.0,2.0,0,7.692307692000001,61.0,40.0,50.5,0.04,61.0,130.9,60,0.0,0.0,0.0,0.0,0.0,0.0,10.277777777777779,5.831757407707853
2010,43,77.0,2.6,53.59375,89.0,53.25443787,64.61538462,14.8255814,14.0,90.0,0.0,2.0,0,4.615384615,71.0,49.0,60.0,0.14,65.0,130.9,60,0.1,0.0,0.0,0.0,0.0,0.4,15.555555555555557,8.617508051628494
2010,44,68.0,0.0,49.0,78.11170213,37.27810651,63.07692308,14.8255814,28.0,18.0,0.0,3.333333333,0,8.461538462,52.0,36.0,44.0,1.3,69.0,130.9,60,0.1,0.0,0.0,0.1,0.0,0.0,6.666666666666667,5.231197911906135
2010,45,64.0,1.56,18.0,0.0,53.97590361,19.0,14.56,14.22222222,0.0,0.0,2.0,0,12.63157895,56.0,35.0,45.5,0.4,62.0,130.9,60,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.961938226298059
2010,46,84.0,3.57,17.48571429,0.0,42.168674700000004,19.0,15.6,14.22222222,0.0,0.0,2.0,0,10.0,55.0,43.0,49.0,1.32,64.0,130.9,60,0.2,0.0,0.0,0.0,0.8,0.0,9.444444444444445,5.803234358608024
2010,47,79.0,2.53,19.54285714,0.0,21.92771084,20.35714286,13.52,15.23809524,0.0,0.0,2.0,0,12.63157895,48.0,33.0,40.5,0.16,54.0,130.9,60,0.1,0.0,0.0,0.0,0.5,0.0,4.722222222222222,3.6029830685143036
2010,48,97.0,3.09,16.97142857,0.0,21.92771084,17.64285714,8.32,20.31746032,0.0,0.0,2.0,0,14.73684211,46.0,29.0,37.5,0.9,60.0,130.9,60,0.1,0.0,0.0,0.0,0.0,0.7,3.055555555555556,3.58215769890292
2010,49,112.0,20.54,69.63562753,0.0,23.44186047,22.0,10.47619048,12.38095238,0.0,0.0,1.882352941,0,4.413793103,34.0,23.0,28.5,0.0,54.0,130.9,60,0.2,0.0,0.0,0.0,0.8,0.4,-1.9444444444444446,2.2879392909833176
