"year","week","total.specimens","percent.positive","flu","cough.medicine","flu.vaccine","flu.shot","flu.pharm","median_tmax","median_tmin","median_t","total_prcp"
2018,10,"1051","14.08",31,70,100,100,15,NA,NA,NA,NA
2018,11,"878","10.59",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,12,"744","11.16",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,13,"693","11.11",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,14,"662","11.63",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,15,"664","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,16,"567","10.05",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,17,"535","6.54",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,18,"447","2.91",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,19,"336","1.79",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,20,"364","1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,21,"297","1.68",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,22,"284","1.06",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,23,"254","0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,24,"258","0.39",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,25,"247","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,26,"227","0.88",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,27,"179","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,28,"178","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,29,"188","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,30,"194","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,31,"188","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,32,"181","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,33,"175","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,34,"185","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,35,"160","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,36,"187","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,37,"217","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,38,"258","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,39,"352","1.14",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,40,"766","0.52",NA,NA,NA,NA,NA,NA,NA,NA,NA
