week,year,week_number,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir
10/3/10,2010,40,55.125,120.71808510638297,85.20710059171599,44.61538461538462,17.790697674418606,35.0,18.0,0.0,3.3333333333333335,0.0
10/10/10,2010,41,55.125,165.6914893617021,47.92899408284024,55.38461538461539,20.755813953488374,29.0,18.0,0.0,3.3333333333333335,0.0
10/17/10,2010,42,81.15625,80.47872340425532,76.33136094674556,32.307692307692314,16.80232558139535,14.0,18.0,0.0,2.0,0.0
10/24/10,2010,43,53.59375,89.0,53.25443786982249,64.61538461538463,14.825581395348838,14.0,89.99999999999999,0.0,2.0,0.0
10/31/10,2010,44,49.0,78.11170212765957,37.278106508875744,63.07692307692308,14.825581395348838,28.0,18.0,0.0,3.3333333333333335,0.0
11/7/10,2010,45,18.0,0.0,53.975903614457835,19.0,14.56,14.222222222222221,0.0,0.0,2.0,0.0
11/14/10,2010,46,17.485714285714284,0.0,42.16867469879518,19.0,15.6,14.222222222222221,0.0,0.0,2.0,0.0
11/21/10,2010,47,19.542857142857144,0.0,21.927710843373493,20.357142857142858,13.52,15.238095238095237,0.0,0.0,2.0,0.0
11/28/10,2010,48,16.97142857142857,0.0,21.927710843373493,17.642857142857142,8.32,20.317460317460316,0.0,0.0,2.0,0.0
12/5/10,2010,49,69.63562753036437,0.0,23.441860465116278,22.0,10.476190476190476,12.380952380952381,0.0,0.0,1.8823529411764706,0.0
12/12/10,2010,50,47.35222672064777,0.0,9.116279069767442,62.857142857142854,7.619047619047619,32.38095238095238,0.0,0.0,1.0,0.0
12/19/10,2010,51,55.012145748987855,0.0,16.930232558139537,25.142857142857142,9.523809523809524,15.238095238095237,0.0,0.0,1.0,0.0
12/26/10,2010,52,43.0,0.0,6.511627906976744,22.0,12.380952380952381,15.0,0.0,0.0,2.1176470588235294,0.0
1/2/11,2011,1,76.5,12.0,22.22222222222222,28.333333333333332,15.714285714285714,17.88617886178862,0.0,0.0,10.0,0.0
1/9/11,2011,2,51.0,12.0,9.722222222222221,28.333333333333332,12.346938775510203,21.95121951219512,0.0,0.0,4.0,0.0
1/16/11,2011,3,51.0,12.0,4.166666666666667,17.0,8.979591836734693,32.52032520325203,0.0,0.0,4.0,0.0
1/23/11,2011,4,76.5,12.0,5.555555555555555,28.333333333333332,11.224489795918366,21.13821138211382,0.0,0.0,5.0,0.0
1/30/11,2011,5,51.0,60.0,8.333333333333334,17.0,6.73469387755102,6.504065040650406,0.0,0.0,5.0,0.0
2/6/11,2011,6,21.281045751633986,13.0,3.2,7.0,11.428571428571429,6.260869565217392,0.0,0.0,6.315789473684211,0.0
2/13/11,2011,7,31.92156862745098,13.0,6.4,14.0,7.619047619047619,4.521739130434782,0.0,0.0,6.315789473684211,0.0
2/20/11,2011,8,32.888888888888886,13.0,3.2,14.0,9.523809523809524,9.391304347826088,0.0,0.0,5.052631578947368,0.0
2/27/11,2011,9,61.908496732026144,13.0,3.2,7.0,11.428571428571429,11.826086956521738,0.0,0.0,6.315789473684211,0.0
3/6/11,2011,10,33.18857142857143,0.0,4.0,10.0,10.8,51.42857142857143,0.0,100.0,10.909090909090908,0.0
3/13/11,2011,11,11.565714285714286,0.0,4.0,10.0,8.4,29.774436090225564,0.0,100.0,5.818181818181818,0.0
3/20/11,2011,12,21.622857142857143,0.0,4.0,20.0,9.6,15.338345864661655,0.0,100.0,7.2727272727272725,0.0
3/27/11,2011,13,21.622857142857143,0.0,4.0,20.0,7.2,23.458646616541355,0.0,100.0,6.0,0.0
4/3/11,2011,14,35.0,13.0,2.6666666666666665,11.0,8.347826086956522,10.636363636363637,0.0,0.0,18.666666666666668,0.0
4/10/11,2011,15,33.40909090909091,13.0,2.6666666666666665,44.0,8.347826086956522,26.0,0.0,0.0,9.333333333333334,0.0
4/17/11,2011,16,36.59090909090909,13.0,2.0,11.0,3.130434782608696,13.0,0.0,0.0,7.0,0.0
4/24/11,2011,17,35.0,52.0,2.6666666666666665,11.0,4.173913043478261,15.363636363636363,0.0,0.0,7.0,0.0
5/1/11,2011,18,19.340659340659343,13.0,2.0,0.0,4.545454545454545,18.28125,0.0,0.0,1.0,100.0
5/8/11,2011,19,16.0,13.0,10.0,0.0,5.454545454545454,19.6875,0.0,0.0,1.0,100.0
5/15/11,2011,20,19.340659340659343,65.0,2.0,0.0,2.727272727272727,12.65625,0.0,0.0,5.0,100.0
5/22/11,2011,21,20.21978021978022,13.0,2.0,0.0,3.6363636363636362,12.65625,0.0,0.0,1.0,100.0
5/29/11,2011,22,21.0989010989011,13.0,2.0,0.0,3.6363636363636362,26.71875,0.0,0.0,1.0,100.0
6/5/11,2011,23,18.802919708029197,0.0,0.0,0.0,4.8,6.0,0.0,0.0,0.0,0.0
6/12/11,2011,24,54.77372262773723,0.0,0.0,0.0,2.4,6.0,0.0,0.0,0.0,0.0
6/19/11,2011,25,17.985401459854014,0.0,0.0,0.0,2.4,18.0,0.0,0.0,0.0,0.0
6/26/11,2011,26,20.437956204379564,0.0,0.0,0.0,2.4,10.0,0.0,0.0,0.0,0.0
7/3/11,2011,27,8.0,0.0,0.0,32.758620689655174,1.0,3.7974683544303796,0.0,0.0,0.0,0.0
7/10/11,2011,28,8.0,0.0,0.0,32.758620689655174,3.0,6.0,0.0,0.0,0.0,0.0
7/17/11,2011,29,20.0,0.0,0.0,19.0,3.0,7.215189873417721,0.0,0.0,0.0,0.0
7/24/11,2011,30,20.0,0.0,0.0,29.482758620689655,1.0,8.734177215189874,0.0,0.0,0.0,0.0
7/31/11,2011,31,8.0,0.0,0.0,19.0,2.0,10.253164556962025,0.0,0.0,0.0,0.0
8/7/11,2011,32,16.355555555555554,0.0,2.6666666666666665,9.0,2.1333333333333333,14.254545454545454,0.0,0.0,1.0,0.0
8/14/11,2011,33,8.0,0.0,2.6666666666666665,9.257142857142858,4.266666666666667,18.327272727272728,0.0,0.0,1.0,0.0
8/21/11,2011,34,15.644444444444444,0.0,3.5555555555555554,26.742857142857144,6.4,13.236363636363636,0.0,0.0,4.0,0.0
8/28/11,2011,35,8.0,0.0,7.111111111111111,9.0,3.2,10.181818181818182,0.0,0.0,1.0,0.0
9/4/11,2011,36,22.0,24.0,5.8352941176470585,38.048780487804876,5.5,24.96,0.0,100.0,1.0,0.0
9/11/11,2011,37,29.652173913043477,24.615384615384617,35.01176470588236,17.5609756097561,9.9,7.68,0.0,100.0,1.0,0.0
9/18/11,2011,38,39.21739130434783,48.0,37.92941176470588,23.414634146341463,13.2,24.0,0.0,100.0,1.0,0.0
9/25/11,2011,39,19.130434782608695,23.384615384615383,45.22352941176471,40.97560975609756,15.4,15.36,0.0,100.0,1.0,0.0
10/2/11,2011,40,50.22346368715084,16.50943396226415,81.72972972972973,82.24137931034483,20.25,11.73913043478261,0.0,0.0,3.0,0.0
10/9/11,2011,41,16.201117318435756,23.11320754716981,68.10810810810811,36.55172413793103,15.75,18.0,0.0,0.0,3.0,0.0
10/16/11,2011,42,32.40223463687151,32.193396226415096,61.2972972972973,43.86206896551724,20.25,31.30434782608696,0.0,0.0,3.0,0.0
10/23/11,2011,43,25.11173184357542,82.54716981132076,64.70270270270271,45.689655172413794,19.125,16.630434782608695,0.0,0.0,3.0,0.0
10/30/11,2011,44,21.061452513966483,20.63679245283019,39.16216216216216,56.6551724137931,14.625,30.326086956521742,0.0,0.0,15.0,0.0
11/6/11,2011,45,40.0,38.95,30.372881355932204,36.0,11.255813953488373,18.070588235294117,0.0,0.0,3.0,0.0
11/13/11,2011,46,38.666666666666664,38.95,24.677966101694917,36.0,11.255813953488373,12.047058823529412,0.0,0.0,2.6666666666666665,0.0
11/20/11,2011,47,26.0,86.1,30.372881355932204,13.5,10.232558139534884,13.552941176470588,0.0,0.0,3.3333333333333335,0.0
